Quarter,Year,Theme,Q,CompositeLabel,Domain,Headline,Detail,ConnectedDomains
FY27 Q3,FY27,Integrations,3,[FY27][Integrations][Q3],Our Data,"(Potential Directions), CRM, or Personna Data Build, or OPUS v3","(Potential Directions), CRM, or Personna Data Build, or OPUS v3",
FY27 Q4,FY27,Integrations,4,[FY27][Integrations][Q4],Our Data,"(Potential Directions), CRM, or Personna Data Build, or OPUS v3","(Potential Directions), CRM, or Personna Data Build, or OPUS v3",
FY28 Q1,FY28,Automations,1,[FY28][Automations][Q1],Our Data,"(Potential), CRM, or OPUS v3, Data Marketplace Development","(Potential), CRM, or OPUS v3, Data Marketplace Development",
FY28 Q2,FY28,Automations,2,[FY28][Automations][Q2],Our Data,"Data Marketplace Development, Data Pipeline Automations","Data Marketplace Development, Data Pipeline Automations",
FY28 Q3,FY28,Automations,3,[FY28][Automations][Q3],Our Data,"Data Marketplace Development, Data Pipeline Automations","Data Marketplace Development, Data Pipeline Automations",
FY28 Q4,FY28,Automations,4,[FY28][Automations][Q4],Our Data,"Data Marketplace Development, Data Pipeline Automations","Data Marketplace Development, Data Pipeline Automations",
FY26 Q1,FY26,Foundations,1,[FY26][Foundations][Q1],Firm Operations,"Workday Associate Management, FinRep Integration (Dev)","Workday Associate Management, FinRep Integration (Dev)",
FY26 Q2,FY26,Foundations,2,[FY26][Foundations][Q2],Firm Operations,"Workday Onboarding Journeys, Benefits & FinRep Builds","Workday Onboarding Journeys, Benefits & FinRep Builds",
FY26 Q3,FY26,Foundations,3,[FY26][Foundations][Q3],Firm Operations,"Workday Onboarding Journeys, Benefits & FinRep Builds, Greenhouse (Live)","Workday Onboarding Journeys, Benefits & FinRep Builds, Greenhouse (Live)",
FY26 Q4,FY26,Foundations,4,[FY26][Foundations][Q4],Firm Operations,"Finance Replatforming (UAT), Finance Replatforming Data Migration, Finance Replatforming Service Transition, Finance Replatforming Cutover","Finance Replatforming (UAT), Finance Replatforming Data Migration, Finance Replatforming Service Transition, Finance Replatforming Cutover",
FY27 Q1,FY27,Integrations,1,[FY27][Integrations][Q1],Firm Operations,Finance Replatforming (Live),Finance Replatforming (Live),
FY27 Q2,FY27,Integrations,2,[FY27][Integrations][Q2],Firm Operations,Luminance (Live),Luminance (Live),
FY27 Q3,FY27,Integrations,3,[FY27][Integrations][Q3],Firm Operations,"Finance & People Systems, Enable Integrations","Finance & People Systems, Enable Integrations",
FY27 Q4,FY27,Integrations,4,[FY27][Integrations][Q4],Firm Operations,"Finance & People Systems, Enable Integrations","Finance & People Systems, Enable Integrations",
FY28 Q1,FY28,Automations,1,[FY28][Automations][Q1],Firm Operations,"Finance & People Systems, Enhancements &  Automations","Finance & People Systems, Enhancements &  Automations",
FY28 Q2,FY28,Automations,2,[FY28][Automations][Q2],Firm Operations,"Finance & People Systems, Enhancements &  Automations","Finance & People Systems, Enhancements &  Automations",
FY28 Q3,FY28,Automations,3,[FY28][Automations][Q3],Firm Operations,"Finance & People Systems, Enhancements &  Automations","Finance & People Systems, Enhancements &  Automations",
FY28 Q4,FY28,Automations,4,[FY28][Automations][Q4],Firm Operations,"Finance & People Systems, Enhancements &  Automations","Finance & People Systems, Enhancements &  Automations",
